2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260212.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260219.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260226.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260305.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260312.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260319.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260326.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250410.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250417.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250424.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250501.zip because it falls outside the requested filename date range
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Skipping PUBLIC_ROOFTOP_PV_ACTUAL_SATELLITE_20250508.zip because it falls outside the requested filename date range
